model,kind,oof_log_loss,calibrated_oof_log_loss,auroc,brier,sensitivity,specificity,calibration_method,training_status,artifact_path
Weighted average (optimized),ensemble,0.4582638955387583,0.4582638955387583,0.8635909491625037,0.15009918546750312,0.8072289156626506,0.7495934959349594,none,trained,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\artifacts\final_ensemble.joblib
Logistic stacker,ensemble,0.45989041284587034,0.45989041284587034,0.8620650624176925,0.15053950118176537,0.7884872824631861,0.7739837398373983,none,trained,
Logit-space average,ensemble,0.47857047143950937,0.47857047143950937,0.8497186578291485,0.15866751826132053,0.8085676037483266,0.6861788617886179,none,trained,
Equal-weight average,ensemble,0.4925791330272231,0.4925791330272231,0.8459920984752016,0.16239201974056214,0.7991967871485943,0.7056910569105691,none,trained,
Path C (3D CNN),individual,0.4943456279795445,0.4943456279795445,0.8360553324408746,0.16503278816875266,0.7309236947791165,0.7788617886178861,none,trained,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\artifacts\final_3d_model.pt
Path B (2.5D CNN),individual,0.5582453202417952,0.5162369856336929,0.8316256897508734,0.16957377740289606,0.7925033467202142,0.7056910569105691,platt,trained,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\artifacts\final_25d_model.pt
Path A (handcrafted + GBM),individual,0.7067366900552382,0.672293264330747,0.6523927689076088,0.23927296226692135,0.678714859437751,0.510569105691057,platt,trained,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\artifacts\final_feature_model.joblib
